CARTS_NET	CHERVIS12_NET	EDUCAT3	NSSEC_3	FINHARD	WELLB1	CINTOFT	CSMARTD_Count	WELLB4	TENHARM	LONELY	ETHNIC_NET	emdidc19	CULTSATIS	SEX	AGEBAND
1	1	1	1	3	8	1	2	6	1	5	1	3	-3	1	4
1	2	-3	4	4	6	2	1	997	1	3	1	10	2	2	13
1	1	1	1	3	6	2	1	3	3	2	1	9	-3	1	5
1	2	2	3	2	5	3	1	7	1	4	1	8	-3	2	12
1	1	1	3	3	7	2	2	3	3	2	1	10	3	1	4
1	1	-3	-3	2	8	2	1	1	3	3	1	10	3	2	4
1	1	-3	4	997	10	1	1	10	2	2	1	7	-3	2	15
1	2	2	3	1	10	1	1	10	2	3	1	7	-3	2	7
1	2	2	-3	3	10	1	1	10	2	3	1	7	-3	1	6
1	2	1	1	2	7	1	1	7	3	3	1	2	-3	1	3
1	1	1	1	2	3	2	3	2	1	2	1	2	-3	2	3
1	1	1	-3	3	8	2	2	3	1	3	1	2	-3	1	5
1	1	-3	3	2	8	1	2	4	1	3	1	2	-3	2	5
1	1	2	-3	2	7	1	3	8	1	1	1	1	-3	1	1
1	1	1	3	3	9	1	2	2	1	2	1	3	-3	1	3
2	2	-3	3	2	10	1	2	0	1	5	4	3	-3	2	4
1	1	-3	1	2	4	1	1	2	1	2	1	10	2	2	11
1	1	2	1	3	7	2	4	1	1	4	1	6	4	2	8
1	1	1	1	2	8	2	4	1	1	5	1	6	3	1	7
1	1	2	-3	2	10	1	4	3	1	4	1	6	1	1	1
1	1	-3	1	3	3	2	1	0	1	2	1	5	2	1	997
1	1	1	1	2	9	1	2	1	1	5	1	6	-3	2	6
1	1	1	1	3	6	2	4	9	1	5	1	6	-3	1	6
1	2	-3	3	4	10	-3	-3	1	1	2	1	2	-3	1	13
2	2	-3	4	3	7	-3	-3	7	1	5	1	2	-3	2	13
1	1	2	1	4	9	1	3	6	1	4	1	6	4	2	10
1	1	1	1	3	3	2	2	6	1	1	1	7	-3	2	10
1	1	1	1	2	8	2	3	1	1	2	1	7	-3	1	10
1	1	1	1	2	7	1	2	3	1	4	1	9	-3	2	9
1	1	1	1	3	6	2	1	3	1	5	5	1	-3	2	7
1	1	1	1	4	4	2	3	1	1	4	5	1	-3	1	5
1	1	1	1	2	7	1	2	0	1	4	1	7	3	1	4
1	2	1	1	3	10	1	2	0	1	5	1	7	5	2	4
1	2	-3	2	5	0	1	1	10	3	1	1	1	-3	1	2
1	2	2	4	5	0	2	1	10	3	1	1	1	-3	2	3
1	1	1	1	3	4	1	2	8	1	4	1	7	-3	-4	14
1	2	2	1	1	8	-3	-3	5	1	5	1	6	-3	1	12
1	1	2	1	1	10	2	1	0	1	5	1	6	-3	2	14
1	1	-3	3	2	7	2	3	0	3	5	4	1	3	2	8
1	2	-3	2	3	8	2	2	0	3	4	1	1	3	1	6
1	1	-3	2	1	8	2	2	2	1	5	1	10	-3	2	13
1	1	-3	1	1	6	-3	-3	6	1	4	1	10	-3	1	13
1	1	2	2	3	8	1	2	0	1	5	1	9	-3	1	9
1	2	2	3	2	7	2	3	997	1	997	1	3	3	2	8
2	2	-3	3	997	9	1	2	997	3	5	1	3	3	2	3
1	1	1	1	3	5	1	2	6	3	3	1	5	-3	1	7
1	1	2	2	2	7	1	1	1	3	2	1	5	-3	1	1
1	1	-3	-3	5	0	-3	-3	10	3	1	997	8	999	1	9
1	1	1	2	2	8	1	1	10	3	3	3	8	5	1	5
1	2	999	3	1	7	3	1	3	1	3	1	7	-3	1	15
1	1	1	3	1	8	2	1	2	3	2	1	5	-3	1	3
1	1	2	1	2	4	2	1	0	1	3	1	7	-3	2	11
1	1	-3	1	2	4	2	1	5	1	4	1	7	-3	1	12
1	2	2	-3	3	5	1	3	7	2	3	1	5	3	1	3
1	1	1	1	2	2	-3	-3	6	1	5	1	3	5	2	6
1	1	-3	1	1	0	-3	-3	0	3	3	1	3	1	1	4
1	1	-3	4	2	0	-3	-3	0	3	2	1	3	4	1	7
1	1	1	1	1	7	2	1	0	1	4	1	10	-3	1	9
1	1	1	1	4	7	2	1	5	3	2	1	10	-3	2	4
1	2	2	1	2	6	1	2	2	1	3	1	10	-3	2	9
1	1	-3	4	5	1	1	3	5	3	5	3	8	-3	1	10
1	1	1	1	1	7	1	2	7	2	4	3	8	-3	2	5
1	1	1	1	5	0	1	2	2	1	1	3	8	-3	1	4
1	1	1	-3	3	4	1	3	8	3	2	3	8	-3	1	3
1	1	1	1	2	6	1	2	2	1	2	3	3	3	2	6
1	1	-3	3	2	8	1	4	1	1	3	3	3	3	1	11
1	1	1	1	2	8	1	4	1	1	2	3	3	4	2	6
1	2	1	1	4	997	2	1	997	1	997	1	9	-3	1	12
2	2	1	1	3	3	1	1	8	1	3	2	6	5	2	6
1	1	1	1	3	5	2	3	8	1	3	1	6	3	1	5
2	2	1	1	2	7	1	2	4	1	4	1	5	-3	1	4
1	1	1	1	2	2	2	2	6	1	3	1	3	-3	1	12
1	2	1	3	2	8	2	2	8	1	4	1	3	-3	2	11
1	1	1	-3	2	7	2	2	1	1	4	1	7	-3	1	7
1	2	1	1	1	10	1	1	0	1	4	1	7	-3	1	7
1	2	997	-3	3	997	2	2	997	2	2	1	2	-3	1	14
1	1	2	3	5	6	1	3	2	1	4	1	6	-3	2	5
1	1	2	2	2	4	2	1	8	1	2	1	9	-3	1	14
1	1	-3	-3	3	7	3	1	6	1	3	1	4	-3	2	997
1	2	-3	3	3	8	1	3	7	3	2	1	5	999	2	11
1	1	1	1	3	8	2	1	2	3	5	1	5	-3	1	7
1	1	1	3	3	7	2	1	5	3	3	1	5	-3	2	7
1	1	-3	1	2	6	1	3	4	3	4	997	4	3	2	6
1	2	2	2	2	8	1	1	0	1	4	1	9	3	1	9
1	1	2	2	2	5	3	1	4	1	2	1	10	-3	2	13
1	1	2	3	4	7	1	1	5	3	3	997	2	-3	2	3
1	2	-3	3	5	2	2	1	8	3	2	1	2	-3	2	997
1	2	-3	3	5	0	-3	-3	5	3	1	1	2	-3	2	12
1	2	-3	3	2	5	3	1	5	1	1	1	8	-3	1	13
1	2	-3	3	2	8	3	2	9	1	2	1	5	-3	2	11
1	2	2	2	2	7	2	2	8	1	1	1	5	-3	1	11
1	1	1	1	2	7	1	2	7	1	4	1	2	-3	1	6
1	1	1	1	1	8	2	1	2	1	5	1	2	-3	1	13
1	1	1	1	2	9	1	1	5	3	4	1	7	-3	1	3
1	1	1	1	3	2	1	1	5	1	2	1	8	-3	2	4
1	1	1	1	3	0	2	1	7	1	2	1	8	-3	1	4
1	1	2	-3	2	6	1	1	3	2	1	5	3	-3	1	2
2	2	2	4	3	8	1	1	0	2	1	5	3	-3	997	997
1	1	2	1	1	10	2	3	0	1	5	1	9	-3	2	12
1	1	1	1	2	10	2	3	0	1	5	1	9	-3	1	11
1	2	2	1	997	8	3	2	5	1	3	1	3	2	1	14
1	2	1	1	2	7	1	1	4	2	2	3	2	-3	1	3
1	1	1	1	2	5	1	3	10	2	1	3	2	-3	1	2
1	2	-3	-3	997	8	1	1	4	2	2	3	2	-3	1	4
1	1	-3	1	2	8	1	1	0	1	4	1	6	2	1	8
1	2	2	3	2	6	2	1	1	1	4	1	6	2	2	7
1	1	2	1	2	7	1	2	1	1	4	1	8	-3	2	11
1	1	-3	-3	2	8	4	2	8	1	3	1	9	-3	2	11
1	2	2	3	2	8	2	1	5	1	4	1	7	-3	2	10
1	1	1	2	2	8	2	1	3	1	3	1	7	-3	1	9
1	1	2	-3	3	997	1	1	2	1	2	1	5	-3	1	12
1	2	1	2	2	9	1	3	0	2	5	1	5	4	1	3
1	2	2	2	2	9	2	2	2	2	5	1	5	4	2	3
1	2	-3	4	3	997	4	1	997	1	5	1	4	-3	2	13
2	2	2	2	3	997	4	1	997	2	1	1	4	-3	2	9
1	1	1	1	1	8	1	3	4	1	3	2	8	5	2	5
1	1	1	1	1	7	2	1	1	3	3	1	6	-3	2	7
1	1	1	1	2	7	1	4	2	1	4	1	8	-3	2	10
1	2	2	2	3	5	1	2	5	1	2	1	2	-3	1	11
1	1	2	2	2	8	4	1	0	1	4	1	10	-3	1	13
1	1	-3	3	997	997	2	1	997	1	5	1	10	-3	2	14
1	1	1	1	3	7	1	2	8	2	3	1	2	-3	2	5
2	2	-3	3	3	9	1	2	997	3	997	999	2	-3	1	4
1	1	1	1	1	7	2	6	6	1	4	1	8	-3	1	8
1	1	1	2	3	4	1	1	8	3	3	1	9	3	1	3
1	1	999	1	2	7	2	3	5	1	3	1	10	-3	1	11
1	1	2	2	1	8	2	4	0	1	5	1	7	-3	2	6
1	1	1	1	1	8	1	4	0	1	5	1	7	-3	1	4
2	2	-3	3	1	5	3	3	0	1	4	997	4	2	2	14
2	2	-3	-3	997	5	4	1	3	1	5	1	4	-3	2	14
1	1	1	1	2	9	2	2	6	1	4	1	9	-3	1	5
2	2	-4	1	2	10	1	2	10	1	5	1	9	-3	2	6
2	2	-3	-3	4	8	-3	-3	0	3	4	4	1	-3	1	8
1	2	-3	-3	3	7	1	1	3	3	3	4	1	-3	2	1
1	2	-3	-3	997	5	2	2	1	3	3	997	1	-3	2	1
1	1	1	1	1	7	1	3	1	1	4	1	9	-3	1	7
1	1	2	1	2	6	2	4	10	1	2	1	9	-3	1	11
1	1	1	1	3	7	1	1	6	3	2	1	2	2	1	3
1	1	2	1	2	8	2	1	1	1	3	1	7	-3	1	10
1	2	2	3	4	3	1	1	5	1	5	1	9	-3	2	9
1	1	2	-3	3	997	1	1	997	1	997	997	9	-3	1	8
1	2	1	1	1	9	2	1	1	1	4	1	10	2	2	14
1	1	2	2	2	7	1	1	2	1	5	1	5	-3	1	13
1	2	1	1	2	8	1	1	6	1	4	1	10	2	2	6
1	1	1	1	2	7	2	4	8	1	4	1	10	2	1	3
1	1	1	1	2	8	1	1	1	1	4	1	9	-3	2	10
1	2	-3	2	5	0	2	2	10	3	1	3	2	-3	2	5
1	2	2	1	2	6	1	2	2	1	2	3	2	-3	2	5
1	2	-3	3	1	9	1	1	1	1	3	3	2	-3	2	4
1	2	2	3	1	7	1	1	2	1	4	3	2	-3	2	5
1	2	1	1	1	9	1	2	1	1	3	3	2	-3	2	6
1	1	1	2	1	8	1	3	0	1	3	3	2	-3	1	5
1	1	1	1	2	4	1	2	8	1	2	1	8	2	1	7
1	1	1	1	1	8	2	1	2	1	5	1	4	3	2	10
1	1	2	2	1	8	2	1	2	1	3	1	4	4	1	12
1	1	2	-3	5	2	3	2	6	2	2	1	1	3	1	10
1	2	2	3	1	6	2	1	0	1	3	1	2	-3	1	10
1	2	2	3	1	8	2	1	0	1	5	1	2	-3	1	11
1	1	-3	-3	997	997	-3	-3	0	2	4	1	2	-3	1	13
1	1	2	-3	2	8	1	3	6	3	2	1	3	-3	1	2
1	1	-3	4	5	3	-3	-3	8	2	1	1	1	-3	2	10
1	2	-3	3	1	3	-3	-3	8	1	2	1	7	-3	2	14
1	1	1	1	2	8	1	3	1	1	4	2	5	-3	2	9
1	1	-3	3	3	5	1	1	5	1	2	1	1	-3	1	6
1	2	999	3	2	5	1	1	5	1	2	1	1	-3	2	2
1	1	2	3	2	8	2	3	2	1	4	1	1	-3	2	7
1	2	-3	-3	2	5	-3	-3	7	1	4	1	5	-3	1	14
1	2	-3	1	2	5	-3	-3	2	1	4	1	5	-3	2	14
2	2	-3	4	997	5	3	1	0	3	997	1	1	-3	2	12
1	1	2	3	3	5	2	2	8	2	1	1	9	-3	1	5
1	1	2	2	1	7	2	1	5	1	4	1	1	-3	1	12
1	1	-3	1	2	7	2	1	2	1	4	1	1	-3	2	14
1	2	2	2	2	8	2	1	2	1	4	1	6	-3	2	11
1	1	2	2	2	5	2	2	6	1	2	1	6	-3	1	10
2	2	2	1	5	4	1	3	4	1	3	1	6	-3	1	3
1	1	1	2	1	9	2	1	1	1	5	1	7	-3	2	11
1	1	2	1	1	9	3	1	0	1	4	1	7	-3	1	11
1	2	2	-3	2	8	-3	-3	0	3	5	1	2	-3	2	13
1	1	1	1	2	7	1	1	8	1	4	1	10	2	1	12
1	1	1	1	1	8	3	2	7	1	4	3	10	2	2	13
1	1	-3	1	1	7	1	3	5	1	2	1	9	-3	1	5
1	1	999	3	5	5	2	1	10	2	1	1	4	-3	2	9
1	1	-3	1	3	4	2	1	8	2	2	1	4	-3	1	9
1	1	1	3	2	6	1	1	8	2	3	1	4	-3	2	3
1	1	1	1	2	7	1	3	3	1	2	1	1	2	1	4
1	1	2	-3	3	7	1	3	0	1	4	1	1	2	2	4
1	1	2	2	3	7	1	3	2	1	5	1	9	-3	1	7
1	1	1	1	1	8	2	4	7	1	5	1	10	1	1	6
1	1	2	3	1	7	1	1	3	2	2	1	4	-3	2	11
1	1	2	2	2	6	1	1	4	1	2	3	3	-3	1	10
1	1	-3	2	3	7	1	1	6	1	3	3	3	-3	2	11
1	2	1	2	3	6	1	1	7	1	2	3	3	-3	2	5
1	1	2	1	2	7	1	2	4	3	3	1	4	3	1	8
1	2	2	1	2	10	1	2	0	1	5	1	3	1	1	4
1	1	2	2	1	10	2	1	0	1	5	1	6	-3	2	12
2	2	-3	4	5	0	-3	-3	10	3	1	997	4	-3	997	1
1	1	2	3	2	7	1	2	1	2	2	1	4	-3	2	2
1	2	2	4	4	3	1	2	6	2	2	1	4	-3	2	2
1	2	1	1	2	7	2	1	997	1	997	1	4	-3	2	10
1	1	1	1	4	5	1	1	7	1	4	1	9	-3	2	10
1	1	1	1	1	8	2	2	1	1	4	1	7	3	1	12
1	1	1	2	2	2	2	1	6	1	1	1	6	-3	1	12
1	1	1	1	4	6	1	1	8	3	2	1	6	-3	2	9
1	1	1	1	3	7	1	1	3	3	2	1	6	-3	2	9
1	1	-3	1	2	9	1	3	4	1	3	1	4	-3	1	10
1	1	1	1	2	6	2	2	3	1	4	1	4	-3	2	11
1	1	1	1	2	10	2	1	5	3	2	3	5	-3	2	7
1	1	1	1	2	8	1	1	1	3	5	1	6	-3	1	5
1	1	2	1	3	5	2	2	5	3	3	1	6	-3	2	4
1	1	2	4	1	8	3	1	0	1	5	1	3	3	2	11
1	1	1	1	1	8	2	2	2	3	3	1	8	-3	1	6
1	2	2	1	2	8	2	3	1	1	4	1	8	-3	1	9
1	1	2	3	1	8	1	3	5	1	4	1	8	-3	1	2
2	2	-3	3	4	5	1	1	2	2	2	4	2	3	1	11
1	1	1	1	1	8	2	1	4	3	2	1	9	-3	1	5
1	1	2	1	2	10	2	2	0	1	3	1	9	-3	1	11
1	1	1	1	3	8	1	2	2	1	3	1	8	-3	1	4
1	2	1	1	5	0	2	1	0	1	4	1	8	-3	2	5
1	1	1	1	1	7	2	1	2	1	2	1	5	2	2	5
1	1	2	3	4	8	1	2	10	3	3	1	8	-3	1	5
1	1	-3	3	5	1	1	2	8	1	3	1	3	-3	1	3
1	2	2	3	2	7	2	2	8	1	4	1	3	-3	2	4
1	2	-3	1	2	8	4	1	4	1	5	1	3	-3	1	9
1	1	-3	2	4	6	1	3	5	1	2	1	5	-3	1	3
1	1	2	3	3	7	2	2	4	1	5	1	5	-3	1	8
1	2	-3	3	1	7	1	2	8	1	2	1	5	-3	2	9
1	1	-3	-3	2	9	-3	-3	2	1	4	1	5	-3	1	14
1	1	2	4	3	5	1	3	0	2	5	1	3	-3	1	14
1	1	1	4	2	7	1	1	3	1	2	1	1	-3	1	1
1	1	2	1	1	8	4	1	2	1	3	1	7	-3	1	13
1	1	1	1	2	8	2	1	3	2	4	3	3	3	2	6
1	1	1	4	3	6	2	1	3	2	4	3	3	3	1	5
1	1	2	4	2	8	2	1	2	2	4	3	3	1	2	3
2	2	-3	4	3	10	-3	-3	8	1	5	1	4	-3	2	12
1	2	-3	4	3	10	-3	-3	997	1	5	1	4	-3	1	12
1	1	997	1	2	5	1	2	5	1	2	1	1	3	1	10
1	2	-3	-3	5	3	1	1	10	2	1	1	3	-3	1	5
2	2	-3	4	3	7	1	1	2	3	5	1	3	-3	2	1
2	2	-3	4	5	7	3	1	8	2	4	1	3	-3	2	1
2	2	-3	2	3	3	-3	-3	8	1	4	1	7	-3	2	14
2	2	-3	3	3	1	-3	-3	9	1	3	1	7	-3	1	12
1	1	-3	-3	3	7	1	2	0	3	3	1	1	-3	1	11
1	2	-3	3	2	10	-3	-3	997	2	2	1	1	-3	1	15
1	1	2	3	2	3	2	2	4	1	2	2	7	-3	2	7
2	2	1	2	3	5	1	1	997	1	2	1	7	-3	1	7
1	1	-3	-3	3	7	2	2	3	1	5	1	1	-3	1	11
2	2	-3	3	3	7	1	1	1	1	5	1	1	-3	2	13
1	1	999	2	1	10	3	1	1	1	3	1	5	-3	1	9
1	1	1	1	1	8	1	2	5	3	2	1	7	-3	1	3
1	2	997	3	997	10	5	1	0	3	5	1	9	-3	1	997
1	2	997	-3	2	9	-3	-3	0	3	5	1	9	-3	2	12
1	1	1	1	1	8	1	2	2	2	4	1	8	-3	1	8
1	1	-3	1	1	7	1	2	5	2	5	1	8	-3	2	8
1	2	-3	2	3	6	1	1	6	2	3	3	1	-3	1	4
2	2	-3	2	3	7	2	1	7	2	3	3	1	-3	2	5
1	1	1	1	2	8	1	3	7	1	3	1	9	-3	1	5
1	1	1	1	1	10	1	1	0	1	5	1	2	-3	2	4
1	1	1	1	2	7	1	1	5	1	3	1	2	-3	1	4
1	2	2	1	2	6	2	2	7	3	1	1	8	-3	2	9
1	1	1	1	4	6	2	1	8	1	2	1	10	-3	997	4
1	1	1	1	4	7	2	1	8	1	2	997	10	-3	997	6
1	1	2	1	1	8	3	1	8	1	4	1	4	2	1	12
1	1	2	3	1	7	2	1	7	1	5	1	4	2	2	12
1	1	1	1	1	9	2	2	0	1	5	1	8	-3	1	12
1	2	-3	2	1	8	1	2	6	1	5	3	2	2	1	4
1	2	2	1	2	9	2	2	0	1	5	1	1	2	1	11
1	2	1	1	2	4	1	1	7	1	1	1	6	-3	1	3
1	2	2	1	2	8	1	6	7	1	3	1	6	4	2	6
1	1	2	2	-3	8	1	4	3	1	4	1	7	1	2	10
1	2	2	3	2	6	1	2	997	1	997	1	7	3	1	2
1	1	1	1	4	8	1	1	2	1	4	1	6	-3	1	5
1	1	1	2	3	8	1	3	2	1	3	1	7	-3	1	5
1	1	1	1	2	7	1	2	2	1	4	1	7	-3	2	4
1	1	997	1	2	9	1	2	7	3	4	1	4	-3	2	6
1	2	-3	-3	3	5	-3	-3	0	2	997	1	5	-3	1	13
1	1	-3	4	3	997	-3	-3	997	2	997	1	5	-3	2	14
1	2	2	2	4	4	1	1	2	1	1	1	6	-3	2	997
2	2	-3	-3	5	997	-3	-3	997	3	3	1	6	-3	997	997
1	2	-3	1	4	8	1	1	0	1	3	1	6	-3	1	4
2	2	1	1	4	3	1	1	9	3	1	999	5	-3	2	4
1	1	2	1	3	8	3	1	0	1	4	1	5	-3	1	12
1	2	-3	1	2	8	1	1	0	1	5	1	5	-3	2	14
1	1	1	3	2	10	2	1	3	1	4	1	10	-3	2	10
1	1	1	1	2	6	2	1	0	1	2	1	10	-3	1	10
1	1	1	1	2	7	1	3	1	1	4	1	9	-3	1	5
1	1	1	1	3	8	2	3	3	1	4	1	4	-3	2	5
1	1	1	1	3	8	2	3	6	1	2	1	3	-3	2	4
1	2	2	1	3	8	2	6	1	1	4	2	3	-3	1	4
1	2	2	3	2	8	2	3	2	1	4	1	5	-3	1	8
1	2	2	-3	1	10	1	2	5	1	4	1	5	-3	2	9
2	2	2	3	2	8	2	2	2	1	4	1	5	-3	2	2
1	2	2	1	2	5	1	1	4	1	2	1	7	-3	1	9
1	1	2	1	3	6	1	2	6	1	4	1	9	2	1	10
1	1	2	2	2	7	1	1	2	1	5	1	7	-3	1	9
1	2	-3	2	2	6	-3	-3	5	1	4	1	7	-3	2	11
1	2	2	1	2	9	1	1	0	1	3	1	7	-3	2	3
1	1	1	1	3	5	3	1	4	1	1	1	10	-3	2	10
1	1	-3	-3	-4	7	5	1	6	2	3	1	1	-3	1	13
1	1	1	1	2	9	2	1	5	3	3	1	8	2	1	11
1	1	1	3	2	8	2	4	1	1	4	1	8	2	2	12
1	1	1	1	1	9	2	3	0	1	5	1	8	3	1	13
1	1	1	1	2	7	2	1	5	3	2	4	5	-3	1	8
1	1	2	1	3	6	1	3	5	2	4	1	2	-3	1	6
2	1	1	3	5	6	1	2	0	2	3	1	2	-3	2	5
1	1	997	-3	3	2	1	2	7	1	2	1	10	-3	1	6
1	1	-3	2	2	9	1	2	1	1	4	1	8	-3	2	12
1	1	997	4	2	10	2	1	0	1	5	1	8	-3	1	13
1	1	1	-3	1	10	2	1	1	1	4	1	4	2	1	10
1	1	2	1	2	9	2	2	0	1	5	1	9	3	2	10
1	1	2	3	2	8	2	2	2	1	4	1	9	2	1	12
1	1	1	1	4	8	1	1	2	3	2	1	4	-3	1	5
1	2	2	1	3	7	3	1	7	1	4	1	6	-3	2	10
2	2	-3	3	3	5	1	1	5	1	3	1	6	-3	1	10
1	1	2	3	2	10	2	1	0	1	4	1	5	-3	2	12
1	1	-3	3	1	9	2	1	0	1	5	1	5	-3	1	13
1	1	1	1	2	7	1	1	8	3	3	1	1	-3	1	2
1	1	2	-3	3	5	2	1	10	2	4	1	1	-3	1	12
1	1	2	1	2	5	5	1	7	1	3	1	3	-3	1	997
1	2	1	1	2	6	1	3	5	1	3	1	9	3	2	4
1	1	1	1	2	8	1	2	8	1	1	1	9	2	1	4
1	2	2	3	3	4	2	1	5	2	1	1	3	-3	1	12
1	1	2	1	3	8	5	1	0	1	3	4	4	4	1	11
1	2	2	2	2	8	1	3	5	1	4	1	1	3	1	3
2	2	2	-3	2	9	1	3	0	1	5	1	1	3	2	4
1	1	1	1	2	7	1	1	7	1	4	1	6	-3	2	4
1	1	1	1	2	6	1	2	7	1	4	1	6	-3	1	4
1	2	1	-3	3	7	2	2	6	1	4	1	3	-3	1	10
1	1	1	2	1	6	2	2	7	1	2	1	9	-3	1	9
1	1	1	1	2	7	2	2	3	1	4	1	8	3	1	3
1	2	1	1	2	7	2	2	5	1	3	1	1	-3	2	14
1	1	2	1	2	7	2	3	3	1	4	1	9	-3	2	8
1	1	1	1	3	8	1	2	2	1	3	1	10	-3	1	5
1	1	2	1	2	9	2	1	1	1	4	1	7	-3	1	12
1	1	2	1	2	7	4	1	8	1	5	1	10	-3	2	15
1	1	2	2	2	8	3	-3	4	1	4	1	10	-3	1	14
1	2	1	1	2	7	1	1	1	2	4	1	5	-3	1	6
1	1	1	2	3	7	2	1	6	1	3	1	8	2	1	7
1	1	2	1	2	8	2	1	6	1	4	1	1	-3	2	14
1	2	997	4	4	10	-3	-3	0	2	4	1	2	-3	2	13
1	1	1	3	3	8	1	2	3	3	3	1	8	-3	1	6
1	1	-3	3	4	8	1	1	10	3	4	1	8	-3	2	1
1	2	2	-3	3	7	1	3	5	2	3	3	2	-3	1	2
2	2	-3	4	2	8	2	3	8	2	3	997	2	-3	1	8
2	2	-3	-3	3	7	1	3	8	2	4	997	2	-3	2	8
1	2	997	-3	3	8	1	4	1	2	4	997	2	-3	2	2
1	1	1	1	3	4	2	1	6	1	4	1	2	-3	2	5
1	1	1	1	3	7	2	1	8	1	4	1	2	-3	1	4
1	1	1	1	1	6	1	1	9	1	5	1	9	-3	1	12
1	1	1	4	2	4	1	1	5	1	3	1	9	-3	2	12
1	2	2	2	1	8	2	1	1	1	3	1	8	2	2	12
1	1	1	1	2	6	2	3	8	1	3	1	7	4	2	13
1	1	2	1	2	7	4	3	6	1	4	1	7	4	1	12
1	2	2	2	3	8	1	2	1	1	5	1	2	-3	1	10
1	2	-3	1	3	8	1	2	0	1	5	1	2	-3	2	9
1	2	-3	2	3	3	-3	-3	5	2	1	1	2	-3	2	7
1	1	-3	-3	997	997	1	1	997	3	997	1	1	-3	1	6
2	1	-3	4	997	5	1	1	997	3	3	1	1	-3	1	6
1	1	2	4	997	997	1	1	997	3	997	1	1	-3	2	6
1	2	-3	4	3	4	1	3	9	2	1	2	2	-3	1	5
1	2	-3	1	2	8	1	1	0	1	5	1	6	3	1	9
1	2	1	1	2	5	1	1	10	1	3	1	1	-3	1	4
2	2	2	4	5	2	1	1	2	3	2	1	1	-3	2	1
1	1	1	1	2	997	2	1	0	1	2	1	4	-3	1	13
1	1	2	2	3	7	2	3	10	1	4	1	9	3	1	10
1	1	-3	2	3	6	1	1	2	3	3	1	9	3	2	8
1	1	-3	-3	4	8	2	1	2	1	3	1	7	4	1	13
2	2	-3	-3	1	5	-3	-3	0	3	1	1	6	-3	2	15
1	1	2	2	2	8	1	2	5	1	4	1	2	2	1	4
1	2	997	4	1	10	-3	-3	0	-3	4	1	7	-3	2	15
1	1	-3	-3	5	7	2	1	5	1	2	1	6	4	1	14
1	2	-3	1	5	10	1	1	10	3	4	1	4	-3	1	4
2	2	-3	-3	3	0	4	1	10	3	1	997	4	-3	2	1
1	1	2	1	5	7	1	5	2	2	3	1	1	-3	1	4
1	1	-3	1	2	5	-3	-3	5	1	2	4	3	-3	997	997
1	1	-3	1	997	3	-3	-3	3	3	997	4	3	-3	997	11
1	1	2	3	2	6	1	1	8	3	2	1	2	3	1	2
2	2	2	3	2	7	1	1	3	3	2	1	2	3	2	2
2	2	2	3	2	6	1	1	4	3	3	1	2	2	2	2
1	1	1	1	2	10	1	3	1	1	5	3	4	-3	2	7
1	1	1	1	2	10	1	3	0	1	997	3	4	-3	1	7
2	1	-3	-3	2	10	1	2	997	1	5	3	4	-3	2	2
1	2	-3	1	2	8	1	3	4	3	2	1	2	-3	1	2
1	2	2	2	2	8	2	1	1	1	3	1	10	-3	2	9
2	2	2	3	2	7	4	1	6	1	3	1	10	-3	1	10
1	1	1	1	3	3	2	1	3	1	2	1	9	-3	1	10
1	1	1	1	5	6	1	1	0	1	4	997	9	-3	2	9
1	1	1	1	2	8	1	1	5	1	4	1	9	-3	2	3
1	1	1	1	1	10	1	2	0	1	5	1	5	1	2	9
1	1	2	2	2	7	2	1	4	1	4	1	5	-3	2	11
1	1	-3	2	2	4	2	1	5	1	3	1	5	-3	1	11
1	1	2	1	2	5	2	1	7	1	1	1	1	-3	2	12
1	1	2	3	3	6	2	2	5	3	2	3	3	3	2	6
1	1	-3	3	3	7	1	2	6	3	3	3	3	3	1	5
1	1	1	1	2	7	2	2	7	1	4	1	6	2	1	5
1	1	1	1	2	8	2	1	2	1	2	1	7	-3	2	12
1	1	1	1	2	6	1	3	6	1	3	1	10	3	1	4
1	1	-3	3	2	7	1	3	5	1	4	1	10	4	2	5
1	1	1	1	2	8	1	3	2	1	5	1	10	3	2	9
1	1	1	3	3	7	1	2	5	1	3	3	10	4	1	4
1	1	2	1	2	7	2	2	0	1	5	1	10	3	1	9
2	2	2	1	2	8	1	1	0	1	3	1	3	-3	1	5
1	1	2	2	2	8	1	2	0	1	5	3	4	-3	2	9
1	1	2	-3	2	10	1	1	0	1	5	2	4	-3	1	1
1	1	2	1	2	9	2	2	1	1	5	1	3	-3	1	13
1	1	-3	1	2	9	5	2	0	1	5	1	3	-3	2	15
1	2	-3	-3	2	-4	-3	-3	0	2	3	1	4	-3	1	13
1	2	2	4	3	4	2	1	4	2	1	2	2	-3	1	10
1	1	1	1	3	5	2	2	1	1	3	1	8	-3	1	10
1	1	2	1	1	10	2	1	0	1	4	1	8	-3	2	11
1	2	-3	-3	4	2	1	1	8	2	1	1	2	999	1	5
1	2	2	1	4	3	-3	-3	4	1	2	1	7	-3	1	14
1	1	-4	2	3	5	-3	-3	5	1	4	1	7	-3	2	14
1	1	2	2	3	6	2	1	7	2	2	1	6	3	1	10
1	1	2	3	3	8	-3	-3	6	2	3	1	6	-3	2	13
1	2	2	1	1	10	2	1	1	1	5	1	9	-3	1	11
1	2	2	1	2	10	1	3	0	2	3	1	4	-3	1	10
